,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email: ,marketing@dyllu.com,,TeL: 0086 512 6569 0317;  Mobile phone: 0086 18061927935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Qty should be multiple of Basic Qty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTXSC534,,,Countersunk head self-tapping screw,"Size: #8x1""""(4.2x25mm)
Material: high quality carbon steel
Pack size: 650 pcs in color box
Screw head type: Countersunk head
Screw drive: phillips
Surface treatment: zinc plated finish 
Packed by color box",SET,94 MDL,,200,20,0.00,0.000,0.00,Color box,0.021,23.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTXSC535,,,Countersunk head self-tapping screw,"Size: #8x1-1/4""""(4.2x32mm)
Material: high quality carbon steel
Pack size: 500 pcs in color box
Screw head type: Countersunk head
Screw drive: phillips
Surface treatment: zinc plated finish 
Packed by color box",SET,89 MDL,,200,20,0.00,0.000,0.00,Color box,0.021,24.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTXSC536,,,Countersunk head self-tapping screw,"Size: #8x1-1/2""""(4.2x38mm)
Material: high quality carbon steel
Pack size: 400 pcs in color box
Screw head type: Countersunk head
Screw drive: phillips
Surface treatment: zinc plated finish 
Packed by color box",SET,84 MDL,,200,20,0.00,0.000,0.00,Color box,0.020,21.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTXSC545,,,Countersunk head self-tapping screw,"Size: #10x1-1/4""""(4.8x32mm)
Material: high quality carbon steel
Pack size: 400 pcs in color box
Screw head type: Countersunk head
Screw drive: phillips
Surface treatment: zinc plated finish 
Packed by color box",SET,100 MDL,,200,20,0.00,0.000,0.00,Color box,0.021,26.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTXSC546,,,Countersunk head self-tapping screw,"Size: #10x1-1/2""""(4.8x38mm)
Material: high quality carbon steel
Pack size: 320 pcs in color box
Screw head type: Countersunk head
Screw drive: phillips
Surface treatment: zinc plated finish 
Packed by color box",SET,94 MDL,,200,20,0.00,0.000,0.00,Color box,0.021,24.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTXSC547,,,Countersunk head self-tapping screw,"Size: #10x2""""(4.8x50mm)
Material: high quality carbon steel
Pack size: 200 pcs in color box
Screw head type: Countersunk head
Screw drive: phillips
Surface treatment: zinc plated finish 
Packed by color box",SET,78 MDL,,200,20,0.00,0.000,0.00,Color box,0.021,17.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTXSE524,,,Countersunk head self-drilling screw,"Size: #8x3/4""""(4.2x19mm)
Driiling point
Material: high quality carbon steel
Pack size: 750 pcs in color box
Screw head type: countersunk head
Screw drive: phillips
Surface treatment: zinc plated finish 
Packed by color box",SET,97 MDL,,200,20,0.00,0.000,0.00,Color box,0.021,23.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTXSE525,,,Countersunk head self-drilling screw,"Size: #8x1""(4.2x25mm)
Driiling point
Material: high quality carbon steel
Pack size: 650 pcs in color box
Screw head type: countersunk head
Screw drive: phillips
Surface treatment: zinc plated finish 
Packed by color box",SET,105 MDL,,200,20,0.00,0.000,0.00,Color box,0.021,24.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTXSE526,,,Countersunk head self-drilling screw,"Size: #8x1-1/4""(4.2x32mm)
Driiling point
Material: high quality carbon steel
Pack size: 500 pcs in color box
Screw head type: countersunk head
Screw drive: phillips
Surface treatment: zinc plated finish 
Packed by color box",SET,100 MDL,,200,20,0.00,0.000,0.00,Color box,0.021,23.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTXSE527,,,Countersunk head self-drilling screw,"Size: #8x1-1/2""(4.2x38mm)
Driiling point
Material: high quality carbon steel
Pack size: 400 pcs in color box
Screw head type: countersunk head
Screw drive: phillips
Surface treatment: zinc plated finish 
Packed by color box",SET,95 MDL,,200,20,0.00,0.000,0.00,Color box,0.021,22.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTXSD522,,,Pan head self-drilling screw,"Size: #8x1/2""""(4.2x13mm)
Drilling point
Material: high quality carbon steel
Pack size: 1000 pcs in color box
Screw head type: pan head
Screw drive: phillips
Surface treatment: zinc plated finish 
Packed by color box",SET,125 MDL,,150,15,0.00,0.000,0.00,Color box,0.016,25.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTXSD524,,,Pan head self-drilling screw,"Size: #8x3/4""""(4.2x19mm)
Drilling point
Material: high quality carbon steel
Pack size: 700 pcs in color box
Screw head type: pan head
Screw drive: phillips
Surface treatment: zinc plated finish 
Packed by color box",SET,108 MDL,,200,20,0.00,0.000,0.00,Color box,0.021,28.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTXSD525,,,Pan head self-drilling screw,"Size: #8x1""(4.2x25mm)
Drilling point
Material: high quality carbon steel
Pack size: 600 pcs in color box
Screw head type: pan head
Screw drive: phillips
Surface treatment: zinc plated finish 
Packed by color box",SET,115 MDL,,200,20,0.00,0.000,0.00,Color box,0.021,27.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTXSD526,,,Pan head self-drilling screw,"Size: #8x1-1/4""(4.2x32mm)
Drilling point
Material: high quality carbon steel
Pack size: 450 pcs in color box
Screw head type: pan head
Screw drive: phillips
Surface treatment: zinc plated finish 
Packed by color box",SET,106 MDL,,200,20,0.00,0.000,0.00,Color box,0.022,27.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTXSD527,,,Pan head self-drilling screw,"Size: #8x1-1/2""(4.2x38mm)
Drilling point
Material: high quality carbon steel
Pack size: 350 pcs in color box
Screw head type: pan head
Screw drive: phillips
Surface treatment: zinc plated finish 
Packed by color box",SET,96 MDL,,200,20,0.00,0.000,0.00,Color box,0.021,22.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTXS3510,,,Truss head self-drilling screw,"Size: #8x1/2"" (4.2x13mm)
Driiling point
Material: high quality carbon steel
Pack size: 1000 pcs in color box
Screw head type: Truss head
Screw drive: phillips
Surface treatment: zinc plated finish 
Packed by color box",SET,126 MDL,,150,15,0.00,0.000,0.00,Color box,0.020,22.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTXS3511,,,Truss head self-drilling screw,"Size: #8x5/8""(4.2x16mm)
Driiling point
Material: high quality carbon steel
Pack size: 850 pcs in color box
Screw head type: Truss head
Screw drive: phillips
Surface treatment: zinc plated finish 
Packed by color box",SET,124 MDL,,150,15,0.00,0.000,0.00,Color box,0.020,20.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTXS3512,,,Truss head self-drilling screw,"Size: #8x3/4"" (4.2x19 mm)
Driiling point
Material: high quality carbon steel
Pack size: 700 pcs in color box
Screw head type: Truss head
Screw drive: phillips
Surface treatment: zinc plated finish 
Packed by color box",SET,112 MDL,,200,20,0.00,0.000,0.00,Color box,0.020,24.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTXS3513,,,Truss head self-drilling screw,"Size: #8x1""(4.2x25mm)
Driiling point
Material: high quality carbon steel
Pack size: 500 pcs in color box
Screw head type: Truss head
Screw drive: phillips
Surface treatment: zinc plated finish 
Packed by color box",SET,99 MDL,,200,20,0.00,0.000,0.00,Color box,0.020,22.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTXS3514,,,Truss head self-drilling screw,"Size: #8x1-1/4""(4.2x32mm)
Driiling point
Material: high quality carbon steel
Pack size: 400 pcs in color box
Screw head type: Truss head
Screw drive: phillips
Surface treatment: zinc plated finish 
Packed by color box",SET,99 MDL,,200,20,0.00,0.000,0.00,Color box,0.020,22.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTXS3515,,,Truss head self-drilling screw,"Size: #8x1-1/2""(4.2x38mm)
Driiling point
Material: high quality carbon steel
Pack size: 300 pcs in color box
Screw head type: Truss head
Screw drive: phillips
Surface treatment: zinc plated finish 
Packed by color box",SET,87 MDL,,200,20,0.00,0.000,0.00,Color box,0.020,19.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTXS3516,,,Truss head self-drilling screw,"Size: #8x2""(4.2x50mm)
Driiling point
Material: high quality carbon steel
Pack size: 250 pcs in color box
Screw head type: Truss head
Screw drive: phillips
Surface treatment: zinc plated finish 
Packed by color box",SET,89 MDL,,200,20,0.00,0.000,0.00,Color box,0.020,20.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTXST534,,,Wood screw,"Size: #8x1-1/2""
Material: high quality carbon steel
Quantity: 400 pcs/color box
Thread dia.: #8(4.2mm)
Effective length: 1-1/2""(38mm)
Thread length: 1""(25mm)
Screw drive type: PH
Screw head: countersunk(flat)
Surface treatment: zinc plated
Packed by color box",SET,100 MDL,,150,15,0.00,0.000,0.00,Color box,0.020,18.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTXST535,,,Wood screw,"Size: #8x2""
Material: high quality carbon steel
Quantity: 350 pcs/color box
Thread dia.: #8(4.2mm)
Effective length: 2""(50mm)
Thread length: 1-1/3""(33mm)
Screw drive type: PH
Screw head: countersunk(flat)
Surface treatment: zinc plated
Packed by color box",SET,106 MDL,,150,15,0.00,0.000,0.00,Color box,0.020,22.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTXST536,,,Wood screw,"Size: #8x2-1/2""
Material: high quality carbon steel
Quantity: 250 pcs/color box
Thread dia.: #8(4.2mm)
Effective length: 2-1/2""(63mm)
Thread length: 1-2/3""(42mm)
Screw drive type: PH
Screw head: countersunk(flat)
Surface treatment: zinc plated
Packed by color box",SET,103 MDL,,150,15,0.00,0.000,0.00,Color box,0.020,19.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTXST554,,,Wood screw,"Size: #10x1-1/2""
Material: high quality carbon steel
Quantity: 350 pcs/color box
Thread dia.: #10(4.8mm)
Effective length: 1-1/2""(38mm)
Thread length: 1-1/3""(33mm)
Screw drive type: PH
Screw head: countersunk(flat)
Surface treatment: zinc plated
Packed by color box",SET,107 MDL,,150,15,0.00,0.000,0.00,Color box,0.020,23.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTXST555,,,Wood screw,"Size: #10x2""
Material: high quality carbon steel
Quantity: 300 pcs/color box
Thread dia.: #10(4.8mm)
Effective length: 2""(50mm)
Thread length: 1-2/3""(42mm)
Screw drive type: PH
Screw head: countersunk(flat)
Surface treatment: zinc plated
Packed by color box",SET,115 MDL,,150,15,0.00,0.000,0.00,Color box,0.020,24.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTXST556,,,Wood screw,"Size: #10x2-1/2""
Material: high quality carbon steel
Quantity: 200 pcs/color box
Thread dia.: #10(4.8mm)
Effective length: 2-1/2""(63mm)
Thread length: 1-2/3""(42mm)
Screw drive type: PH
Screw head: countersunk(flat)
Surface treatment: zinc plated
Packed by color box",SET,100 MDL,,150,15,0.00,0.000,0.00,Color box,0.020,20.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTXST557,,,Wood screw,"Size: #10x3""
Material: high quality carbon steel
Quantity: 200 pcs/color box
Thread dia.: #10(4.8mm)
Effective length: 3""(75mm)
Thread length: 2""(50mm)
Screw drive type: PH
Screw head: countersunk(flat)
Surface treatment: zinc plated
Packed by color box",SET,113 MDL,,150,15,0.00,0.000,0.00,Color box,0.020,23.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTXST558,,,Wood screw,"Size: #10x4""
Material: high quality carbon steel
Quantity: 150 pcs/color box
Thread dia.: #10(4.8mm)
Effective length: 4""(100mm)
Thread length: 2-2/3""(67mm)
Screw drive type: PH
Screw head: countersunk(flat)
Surface treatment: zinc plated
Packed by color box",SET,114 MDL,,150,15,0.00,0.000,0.00,Color box,0.020,23.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTXST577,,,Wood screw,"Size: #12x3""
Material: high quality carbon steel
Quantity: 150 pcs/color box
Thread dia.: #12(5.5mm)
Effective length: 3""(75mm)
Thread length: 2""(50mm)
Screw drive type: PH
Screw head: countersunk(flat)
Surface treatment: zinc plated
Packed by color box",SET,106 MDL,,150,15,0.00,0.000,0.00,Color box,0.020,22.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTXST578,,,Wood screw,"Size: #12x4""
Material: high quality carbon steel
Quantity: 100 pcs/color box
Thread dia.: #12(5.5mm)
Effective length: 4""(100mm)
Thread length: 2-2/3""(67mm)
Screw drive type: PH
Screw head: countersunk(flat)
Surface treatment: zinc plated
Packed by color box",SET,106 MDL,,150,15,0.00,0.000,0.00,Color box,0.020,21.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTXS4511,,,Hex self drilling screw with rubber washer,"Size: #14x3/4""(6.3x19mm)
Driiling point
With rubber washer
Material: high quality carbon steel
Pack size: 400 pcs in color box
Screw head type: hexgonal head
Surface treatment: zinc plated finish 
Packed by color box",SET,216 MDL,,100,10,0.00,0.000,0.00,Color box,0.022,23.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTXS4512,,,Hex self drilling screw with rubber washer,"Size: #14x1""(6.3x25mm)
Driiling point
With rubber washer
Material: high quality carbon steel
Pack size: 300 pcs in color box
Screw head type: hexgonal head
Surface treatment: zinc plated finish 
Packed by color box",SET,184 MDL,,100,10,0.00,0.000,0.00,Color box,0.022,20.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTXS4513,,,Hex self drilling screw with rubber washer,"Size: #14x1-1/4"" (6.3x32 mm)
Driiling point
With rubber washer
Material: high quality carbon steel
Pack size: 240 pcs in color box
Screw head type: hexgonal head
Surface treatment: zinc plated finish 
Packed by color box",SET,168 MDL,,100,10,0.00,0.000,0.00,Color box,0.022,17.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTXS4514,,,Hex self drilling screw with rubber washer,"Size: #14x1-1/2"" (6.3x38 mm)
Driiling point
With rubber washer
Material: high quality carbon steel
Pack size: 200 pcs in color box
Screw head type: hexgonal head
Surface treatment: zinc plated finish 
Packed by color box",SET,159 MDL,,100,10,0.00,0.000,0.00,Color box,0.022,15.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTXS4515,,,Hex self drilling screw with rubber washer,"Size: #14x2""(6.3x50mm)
Driiling point
With rubber washer
Material: high quality carbon steel
Pack size: 180 pcs in color box
Screw head type: hexgonal head
Surface treatment: zinc plated finish 
Packed by color box",SET,179 MDL,,100,10,0.00,0.000,0.00,Color box,0.022,18.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTXS4516,,,Hex self drilling screw with rubber washer,"Size: #14x2-1/2""(6.3x63mm)
Driiling point
With rubber washer
Material: high quality carbon steel
Pack size: 160 pcs in color box
Screw head type: hexgonal head
Surface treatment: zinc plated finish 
Packed by color box",SET,191 MDL,,100,10,0.00,0.000,0.00,Color box,0.022,19.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTXS4517,,,Hex self drilling screw with rubber washer,"Size: #14x3""(6.3x75mm)
Driiling point
With rubber washer
Material: high quality carbon steel
Pack size: 140 pcs in color box
Screw head type: hexgonal head
Surface treatment: zinc plated finish 
Packed by color box",SET,178 MDL,,100,10,0.00,0.000,0.00,Color box,0.022,20.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTXS4518,,,Hex self drilling screw with rubber washer,"Size: #14x4""(6.3x100mm)
Driiling point
With rubber washer
Material: high quality carbon steel
Pack size: 120 pcs in color box
Screw head type: hexgonal head
Surface treatment: zinc plated finish 
Packed by color box",SET,199 MDL,,100,10,0.00,0.000,0.00,Color box,0.022,20.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTXS4521,,,Hex self drilling screw with rubber washer,"Size: #12x3/4""(5.5x19mm)
Drilling point
With rubber washer
Material: high quality carbon steel
Quantity: 500 pcs in color box
Screw head type: hexgonal head
Surface treatment: zinc plated finish 
Packed by color box",SET,195 MDL,,100,10,0.00,0.000,0.00,Color box,0.022,23.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTXS4522,,,Hex self drilling screw with rubber washer,"Size: #12x1""(5.5x25mm)
Drilling point
With rubber washer
Material: high quality carbon steel
Quantity: 400 pcs in color box
Screw head type: hexgonal head
Surface treatment: zinc plated finish 
Packed by color box",SET,181 MDL,,100,10,0.00,0.000,0.00,Color box,0.022,21.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTXS4523,,,Hex self drilling screw with rubber washer,"Size: #12x1-1/4""(5.5x32mm)
Drilling point
With rubber washer
Material: high quality carbon steel
Quantity: 340 pcs in color box
Screw head type: hexgonal head
Surface treatment: zinc plated finish 
Packed by color box",SET,174 MDL,,100,10,0.00,0.000,0.00,Color box,0.023,20.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTXS4524,,,Hex self drilling screw with rubber washer,"Size: #12x1-1/2""(5.5x38mm)
Drilling point
With rubber washer
Material: high quality carbon steel
Quantity: 300 pcs in color box
Screw head type: hexgonal head
Surface treatment: zinc plated finish 
Packed by color box",SET,175 MDL,,100,10,0.00,0.000,0.00,Color box,0.022,20.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTXS4525,,,Hex self drilling screw with rubber washer,"Size: #12x2""(5.5x50mm)
Drilling point
With rubber washer
Material: high quality carbon steel
Quantity: 240 pcs in color box
Screw head type: hexgonal head
Surface treatment: zinc plated finish 
Packed by color box",SET,168 MDL,,100,10,0.00,0.000,0.00,Color box,0.022,19.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTXS4526,,,Hex self drilling screw with rubber washer,"Size: #12x2-1/2""(5.5x63mm)
Drilling point
With rubber washer
Material: high quality carbon steel
Quantity: 200 pcs in color box
Screw head type: hexgonal head
Surface treatment: zinc plated finish 
Packed by color box",SET,166 MDL,,100,10,0.00,0.000,0.00,Color box,0.022,19.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTXS4527,,,Hex self drilling screw with rubber washer,"Size: #12x3""(5.5x75mm)
Drilling point
With rubber washer
Material: high quality carbon steel
Quantity: 170 pcs in color box
Screw head type: hexgonal head
Surface treatment: zinc plated finish 
Packed by color box",SET,160 MDL,,100,10,0.00,0.000,0.00,Color box,0.022,19.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTXS4531,,,Hex self drilling screw with rubber washer,"Size: #10x3/4""(4.8x19mm)
Drilling point
With rubber washer
Material: high quality carbon steel
Pack size: 600 pcs in color box
Screw head type: hexgonal head
Surface treatment: zinc plated finish 
Packed by color box",SET,189 MDL,,100,10,0.00,0.000,0.00,Color box,0.022,21.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTXS4532,,,Hex self drilling screw with rubber washer,"Size: #10x1""(4.8x25mm)
Drilling point
With rubber washer
Material: high quality carbon steel
Pack size: 500 pcs in color box
Screw head type: hexgonal head
Surface treatment: zinc plated finish 
Packed by color box",SET,178 MDL,,100,10,0.00,0.000,0.00,Color box,0.022,21.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTXS4533,,,Hex self drilling screw with rubber washer,"Size: #10x1-1/4""(4.8x32mm)
Drilling point
With rubber washer
Material: high quality carbon steel
Pack size: 440 pcs in color box
Screw head type: hexgonal head
Surface treatment: zinc plated finish 
Packed by color box",SET,178 MDL,,100,10,0.00,0.000,0.00,Color box,0.022,20.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
